165,National Plastics - Amritsar,CRISIL BBB-,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,National Plasto Moulding,CRISIL BBB-/CRISIL A3,31-Aug-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,National Plasto Products Private Limited,CRISIL BBB-/CRISIL A3,28-Aug-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,National Rice Mill,CRISIL B+,13-Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,National Securities Clearing Corporation Limited,CCR AAA,29-Aug-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,National Steel Suppliers,CRISIL B/CRISIL A4,30-Mar-11,Suspended,1-Apr-16,CRISIL B/CRISIL A4,26-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,
171,National Trading Company,CRISIL B+,28-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,National Ventures Private Limited,CRISIL A4,16-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Natraj Home Furnishings Private Limited,CRISIL B+/CRISIL A4,24-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Natraj Rice Mills Private Limited,CRISIL BB+/CRISIL A4+,29-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Naturagreen Food Products Private Limited,CRISIL BB,29-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Natural Coir Industries,CRISIL BB/CRISIL A4+,14-May-15,Suspended,28-Oct-16,CRISIL BB-,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Natural Food Products,CRISIL BBB/CRISIL A3+,22-Aug-13,"CRISIL BBB-/CRISILA3",26-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Natural Herbals and Seeds,CRISIL BB/CRISIL A4+,16-Sep-14,"CRISIL BB-/CRISILA4+",26-Nov-15,CRISIL BB-,27-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Natural Organic Farms,CRISIL B,23-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Natural Products Export Corporation Limited,CRISIL A4+,2-May-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Natural Selections,CRISIL B+/CRISIL A4,27-Feb-15,"CRISIL BB-/CRISILA4+",5-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Natural Sugar and Allied Industries Limited,CRISIL BBB,27-Sep-12,CRISIL BBB-,17-Sep-13,CRISIL BB+,4-Nov-14,CRISIL B+,10-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,
183,Natural Technofab,CRISIL B,16-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Nature Bio-Foods Limited,CRISIL BBB-/CRISIL A3,31-Jan-13,Suspended,26-Aug-14,"CRISIL BBB+/CRISILA2",10-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Natures Organics,CRISIL BB,3-Aug-15,CRISIL B+,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Naturo Food and Fruit Products Private Limited,CRISIL B,23-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Natvar Parikh and Bros.,CRISIL B+,4-Feb-14,CRISIL BB,16-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Natwest Estates Private Limited,CRISIL B+,4-Nov-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Nauvata Engineering Pvt Ltd,CRISIL B-,15-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Nav Jyoti Agro Foods Private Limited,CRISIL BB-,28-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Nav Nirman Sewa Samiti,CRISIL B-,28-Apr-14,CRISIL D,24-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Nava Barath Fertilizers Limited,CRISIL BBB-,31-Dec-12,CRISIL BBB+,16-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Nava Bharat Ventures Limited,CRISIL A+/CRISIL A1,1-Aug-08,"CRISIL A+/CRISILA1+",13-Jan-10,CRISIL A+/CRISIL A1,7-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Nava Healthcare Private Limited,CRISIL BB,11-Jul-14,Suspended,27-Dec-15,CRISIL B+,28-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Nava Nirman Fabrication Private Limited,CRISIL BB,4-Feb-15,Suspended,20-Apr-16,"CRISIL BB+/CRISILA4+",22-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Navabharat Limited,CRISIL BBB,30-Apr-15,"CRISIL BBB/CRISILA3+",14-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Navair International Private Limited,CRISIL BB+/CRISIL A4+,26-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Naval Exporters and Importers Private Limited,CRISIL B-/CRISIL A4,31-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Navanidhi Electronics Private Limited,CRISIL BB/CRISIL A4+,24-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Navbharat Insulation and Engg. Co.,CRISIL B+/CRISIL A4,16-Nov-11,"CRISIL B-/CRISILA4",31-Jan-13,CRISIL C/CRISIL A4,20-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Navbharat Nirman Company,CRISIL B/CRISIL A4,9-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Navdeep Construction Company,CRISIL BB/CRISIL A4+,19-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Navdeep Rice and Pulse Mill,CRISIL BB-,14-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Navdurga Agro Industries,CRISIL B,25-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Naveen Filters Private Limited,CRISIL B+/CRISIL A4,18-Dec-12,"CRISIL BB-/CRISILA4+",17-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Naveen Hotels Limited,CRISIL BB+,15-Apr-08,Suspended,10-Nov-10,CRISIL BBB-,6-Oct-15,CRISIL BBB+(SO),28-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
207,Naveen Poultry Farms Private Limited,CRISIL B,28-Jul-14,CRISIL D,16-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Naveen Timber Private Limited,CRISIL BB/CRISIL A4+,2-Nov-11,"CRISIL BB+/CRISILA4+",24-Dec-13,CRISIL D/CRISIL D,9-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Navhari Food Products Private Limited,CRISIL BB-,30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Navin Cold Storage Private Limited,CRISIL D,29-Aug-12,CRISIL C,23-Oct-13,CRISIL D,8-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Navin Construction Corporation,CRISIL B/CRISIL A4,18-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Navin Cotex,CRISIL BB-,29-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Navin Ginning Factory,CRISIL BB-,29-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Navjivan Motors Private Limited,CRISIL BB,22-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Navkar Corporation Limited,CRISIL A-/CRISIL A2+,29-Jun-13,CRISIL A/CRISIL A1,7-Jul-14,CRISIL A+/CRISIL A1,21-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Navkar Lifesciences,CRISIL B,27-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Navkar Sugars,CRISIL B+,4-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Navkar Terminals Limited,CRISIL A/CRISIL A1,26-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Navkar Transcore Private Limited,CRISIL BBB+/CRISIL A2,16-Jan-12,"CRISIL BBB/CRISILA3+",20-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Navneet Education Limited,CRISIL A1,28-Jan-94,CRISIL A1+,30-Sep-94,"CRISIL AA/CRISILA1+",5-Feb-14,CRISIL A1+,20-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,
221,Navnit Motors Private Limited,CRISIL BB+/CRISIL A4+,7-Jun-11,"CRISIL BB/CRISILA4+",20-Jun-16,"CRISIL BB-/CRISILA4+",22-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Navpad Steel Centre,CRISIL B+/CRISIL A4,22-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Navratan Specialty Chemicals LLP,CRISIL BB+/CRISIL A4+,25-Jun-13,"CRISIL BBB-/CRISILA3",18-Jun-14,"CRISIL BBB/CRISILA3+",20-Oct-15,"CRISILBBB+/CRISIL A2",6-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,
224,Navrathan Jewellers Private Limited,CRISIL BBB-,6-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Navya Foods Private Limited,CRISIL BB-,6-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Navya Infracon Projects India Private Limited,CRISIL B+,13-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Naxalbari Flour and Rice Mill Private Limited,CRISIL B/CRISIL A4,30-Dec-13,"CRISIL B+/CRISILA4",19-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Naya Infrastructure Private Limited,CRISIL B+/CRISIL A4,18-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Nayak Infrastructure Private Limited,CRISIL C/CRISIL A4,30-Aug-10,CRISIL D/CRISIL D,20-Jan-12,CRISIL B/CRISIL A4,14-Mar-13,"CRISIL BB-/CRISIL A4+",20-Nov-14,"CRISILBB/CRISIL A4+",16-Nov-15,"CRISIL BBB-/CRISIL A3",19-Apr-16,,,,,,,,,,,,,,,,,,,,
230,NBCC (India) Limited,CRISIL AA-/CRISIL A1+,9-Mar-10,CRISIL AA-,12-Oct-10,CRISIL AA,27-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,
231,NCC Urban Infrastructure Limited,CRISIL AA-(SO),11-Feb-09,CRISIL D,10-Jun-11,Withdrawal,27-May-13,"CRISIL BB-/CRISIL A4+",24-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,
232,NDR Infrastructure Private Limited,CRISIL B+,15-Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,NEC Packaging Limited,CRISIL B,10-Mar-15,Suspended,27-Apr-16,CRISIL B/CRISIL A4,6-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Necco Tools,CRISIL B+/CRISIL A4,30-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Nechupadam Constructions Private Limited,CRISIL B/CRISIL A4,30-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Nectar Crop Sciences Private Limited,CRISIL BBB/CRISIL A3+,29-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,NEcX Private Limited,CRISIL BB,14-Jun-11,Suspended,15-Mar-16,CRISIL B-,20-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,
238,NED Energy Limited,CRISIL A/CRISIL A1,17-Feb-09,"CRISIL A-/CRISILA2+",27-Sep-13,"CRISIL BBB+/CRISILA2",16-Nov-15,"CRISIL BBB-/CRISIL A3",22-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,
239,Needhishree Buildcon Private Limited,CRISIL B,12-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Neeharika Oils,CRISIL BB/CRISIL A4+,31-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Neel Industries Private Limited,CRISIL BBB/CRISIL A3+,21-Jul-11,"CRISILBBB+/CRISIL A2",24-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Neel Kanth Agro Food P Private Limited,CRISIL D,2-Jul-14,CRISIL B,6-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Neel Kanth Herbs,CRISIL B+/CRISIL A4,22-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Neel Sarovar Buildtech Private Limited,CRISIL BB-,8-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Neelanchal Realtors LLP,CRISIL A,14-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Neeli Aqua Private Limited,CRISIL B/CRISIL A4,13-Aug-14,CRISIL D,27-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Neelkanth Town Planners Private Limited,CRISIL BB+,7-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Neelkanth Yarn,CRISIL BB/CRISIL A4+,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Neelplast Polymers Private Limited,CRISIL BB-,26-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Neelson Overseas,CRISIL BB-/CRISIL A4+,25-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Neeraja Developers and Promoters,CRISIL B+,8-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Neeraja Trading Corporation,CRISIL B,30-Apr-12,CRISIL B+,7-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Neerakkal Latex,CRISIL B,18-Dec-15,CRISIL D,17-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Neerakkal Latex Private Limited,CRISIL B,27-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Neev Infrastructure Private Limited,CRISIL A3,2-Mar-09,CRISIL A3+,11-Sep-09,Suspended,7-Mar-11,"CRISIL BBB-/CRISIL A3",23-Jun-14,"CRISILBB+/CRISIL A4+",30-Oct-15,,,,,,,,,,,,,,,,,,,,,,
256,Neha Constructions - Nagpur,CRISIL B+/CRISIL A4,24-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Neha Exports,CRISIL BBB-/CRISIL A3,31-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Nehru Place Hotels Private Limited,CRISIL BBB-,28-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Neil Computech Private Limited,CRISIL B+,30-Sep-10,CRISIL D,9-Jan-13,CRISIL BB-,25-Jun-14,CRISIL BB,9-Mar-15,CRISIL BBB-,14-Jun-16,,,,,,,,,,,,,,,,,,,,,,
260,Nekkanti Sea Foods Limited,CRISIL BB+/CRISIL A4,4-Jun-09,"CRISIL BB+/CRISILA4+",15-Sep-09,Suspended,14-Dec-12,"CRISIL A-/CRISILA2+",29-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,
261,NELCO Limited,CRISIL A/CRISIL A1,13-Jun-08,"CRISIL A-/CRISILA2+",4-Oct-13,"CRISIL BBB+/CRISILA2",5-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Nelito Systems Limited,CRISIL A-/CRISIL A2+,2-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Nellore Municipal Corporation,CCR BB+,12-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Nellukkaran's Foods And Feeds Private Limited,CRISIL B+,27-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Nelson Global Products India Private Limited,CRISIL BBB+/CRISIL A2,17-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Neman Carpets,CRISIL BB-/CRISIL A4+,29-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Nemi Chem,CRISIL B/CRISIL A4,7-Sep-12,"CRISIL B+/CRISILA4",3-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Neo Builders and Developers,CRISIL D,16-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Neo Essel Dispoware Private Limited,CRISIL BB+/CRISIL A4+,30-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Neogen Chemicals Limited,CRISIL BB-/CRISIL A4,8-Jun-09,"CRISIL BB-/CRISILA4+",15-Sep-09,"CRISIL BB/CRISILA4+",9-Oct-12,"CRISILBB+/CRISIL A4+",29-Jul-13,"CRISIL BBB-/CRISIL A3",23-Sep-14,,,,,,,,,,,,,,,,,,,,,,
271,Neometrix Engineering Private Limited,CRISIL B-/CRISIL A4,30-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Neon Laboratories Limited,CRISIL A-/CRISIL A2+,29-Dec-10,"CRISILBBB+/CRISIL A2",8-May-12,Suspended,28-Sep-12,"CRISILBB+/CRISIL A4+",28-Dec-12,"CRISIL BBB-/CRISIL A3",11-Apr-14,"CRISILBBB+/CRISIL A2",20-Oct-16,,,,,,,,,,,,,,,,,,,,
273,NEOSPARK Drugs and Chemicals Private Limited,CRISIL BBB-/CRISIL A3,31-Mar-09,"CRISIL BBB/CRISILA3+",11-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Neptune Laminates Private Limited,CRISIL B+,30-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Neptune Super Speciality Hospitals Private Limited,CRISIL B,14-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Neptune Systems Private Limited,CRISIL BB/CRISIL A4+,4-Dec-12,Suspended,8-Jun-15,"CRISIL BB/CRISILA4+",30-Dec-15,"CRISILBB+/CRISIL A4+",23-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,
277,Neptunus Power Plant Services Private Limited,CRISIL BBB/CRISIL A2,7-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Nestle India Limited,CRISIL AAA,31-Dec-96,"CRISIL AAA/CRISILA1+",30-Dec-97,CRISIL A1+,18-Sep-02,"CRISILAAA/CRISIL A1+",6-Feb-07,,,,,,,,,,,,,,,,,,,,,,,,
279,Netafim Irrigation India Private Limited,CRISIL A+/CRISIL A1,6-May-08,"CRISIL A+/CRISILA1+",16-Jul-10,CRISIL A+/CRISIL A1,7-Sep-12,"CRISIL A/CRISILA1",30-Aug-13,,,,,,,,,,,,,,,,,,,,,,,,
280,Netplast Private Limited,CRISIL BB/CRISIL A4+,16-Jan-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Network Tradelink Private Limited,CRISIL B+/CRISIL A4,10-Dec-12,CRISIL D/CRISIL D,24-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Neumec and Reodar Builders JV,CRISIL B+,18-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,NeuroGen Brain And Spine Institute,CRISIL B,18-Dec-15,CRISIL BB-,3-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Nevatia Steel and Alloys Private Limited,CRISIL BB/CRISIL A4+,29-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Nevedha Knitts,CRISIL BB-/CRISIL A4+,19-Dec-11,"CRISIL BB/CRISILA4+",28-Feb-14,"CRISIL BB+/CRISILA4+",27-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,
286,New - Tech Steel and Alloys Private Limited,CRISIL D/CRISIL D,16-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Name of the Issuer,Initial Rating,Date of Initial Rating,"Rating after 1stRevision","Date of 1stRevision","Rating after 2ndRevision","Date of 2ndRevision","Rating after 3rdRevision","Date of 3rdRevision","Rating after 4thRevision","Date of 4thRevision","Rating after 5thRevision","Date of 5thRevision","Rating after 6thRevision","Date of 6thRevision","Rating after 7thRevision","Date of 7thRevision","Rating after 8thRevision","Date of 8thRevision","Rating after 9thRevision","Date of 9thRevision","Rating after 10thRevision","Date of 10thRevision","Rating after 11thRevision","Date of 11thRevision","Rating after 12thRevision","Date of 12thRevision","Rating after 13thRevision","Date of 13thRevision","Rating after 14thRevision","Date of 14thRevision","Rating after 15thRevision","Date of 15thRevision"
287,New Age False Ceiling Private Limited,CRISIL B+,30-Jun-15,"CRISIL B+/CRISILA4",8-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,New Age Hotels and Resorts Limited,CRISIL D/CRISIL D,29-Nov-12,CRISIL B-,17-Feb-14,CRISIL B,5-Mar-15,CRISIL B+,10-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,
289,"New Amrutha Medical and Research Centre (Raichur)Private Limited",CRISIL B,4-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,New Darjeeling Union Tea Co Limited,CRISIL BB+,22-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,New Engineering Works,CRISIL BB-,10-Dec-15,CRISIL BB,25-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,New Era Industries,CRISIL BB-/CRISIL A4+,8-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,New Horizons Private Limited,CRISIL A4,6-Jan-09,Suspended,13-Jul-10,CRISIL A3,27-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,
294,New India Contractors and Developers Private Limited,CRISIL BB/CRISIL A4+,23-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,New India Infra Buildtech Limited,CRISIL BB-/CRISIL A4+,22-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,New Jehlum Construction Company,CRISIL BB-/CRISIL A4+,29-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,New Modern Technomech Private Limited,CRISIL BB-/CRISIL A4+,12-Nov-13,"CRISIL BB/CRISILA4+",8-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,New Nalanda Tubewell Boring and Engineering Works,CRISIL BB-/CRISIL A4+,24-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,New Spice Sales and Solutions Limited,CRISIL A3+,6-May-14,CRISIL A3,12-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,New Stone Quarry,CRISIL B+,30-Mar-13,CRISIL BB-,24-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,New Win Win Feeds Private Limited,CRISIL BB/CRISIL A4+,6-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Newby Teas Overseas Private Limited,CRISIL BB+/CRISIL A4+,13-Aug-13,"CRISIL BB/CRISILA4+",7-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Newcon Engineers Private Limited,CRISIL B+/CRISIL A4,31-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Newpack Plastics Private Limited,CRISIL BB/CRISIL A4+,24-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Nexgen Consultancy Private Limited,CRISIL B-,22-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Nexo Industries Limited,CRISIL BBB-/CRISIL A3,11-Jan-10,"CRISIL BBB/CRISILA3+",27-Nov-13,"CRISIL BBB+/CRISILA2",10-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Next Education India Private Limited,CRISIL BBB+/CRISIL A2,22-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Nextgen Textile Park Private Limited,CRISIL B-,12-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Nexus Electro Steel Limited,CRISIL BB-/CRISIL A4,2-Sep-09,"CRISIL BB-/CRISILA4+",15-Sep-09,CRISIL B+/CRISIL A4,26-Jul-11,"CRISIL B-/CRISILA4",22-Feb-13,"CRISILC/CRISIL A4",2-Sep-14,"CRISIL B-/CRISIL A4",28-Sep-15,,,,,,,,,,,,,,,,,,,,
310,Nexus Health and Beauty Care Private Limited,CRISIL B-,6-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Neysa Jewellery Limited,CRISIL A3+,4-Nov-08,CRISIL A4,6-Apr-09,CRISIL D,8-Jul-10,CRISIL D/CRISIL,29-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,
312,Nezami Rekha Sea Foods Private Limited,CRISIL A4+,24-Apr-12,Suspended,30-May-14,CRISIL A4+,29-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,
313,NF Forgings Private Limited,CRISIL B+/CRISIL A4,28-Sep-10,"CRISIL BB-/CRISILA4+",21-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,NF Infratech Service Private Limited,CRISIL BB-/CRISIL A4+,31-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,NgD Jewels,CRISIL B,29-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,NGL Fine Chem Limited,CRISIL BBB-/CRISIL A3,30-Jan-12,"CRISIL BBB/CRISILA3+",28-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Ngrt Systems Private Limited,CRISIL BB/CRISIL A4+,31-Jan-15,CRISIL BB+,8-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,NHB Ball and Roller Limited,CRISIL BBB-/CRISIL A3,16-Dec-10,"CRISIL BB+/CRISILA4+",20-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,NHPC Limited,CRISIL AA+,28-Nov-01,CRISIL AAA,27-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,NIAE Educational Society,CRISIL BB-,28-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Nibber Castings Private Limited,CRISIL BB-,21-Mar-13,CRISIL BB,28-Jan-14,CRISIL B-/CRISIL A4,18-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Nice Ceramic Private Limited,CRISIL BB-/CRISIL A4+,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Nice Marine Exports (India) Private Limited,CRISIL B+/CRISIL A4,30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Nice Poultry Feeds Mill Private Limited,CRISIL D,30-Aug-13,CRISIL B-,5-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Nichem Industries,CRISIL BB-,17-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Nichrome India Limited,CRISIL BBB-/CRISIL A3,3-Mar-09,"CRISIL BBB/CRISILA3+",6-Apr-11,"CRISIL BBB-/CRISILA3",30-Jul-15,"CRISILBBB/CRISIL A3+",28-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,
327,NIF Ispat Limited,CRISIL A4,7-Dec-10,"CRISIL BB-/CRISILA4+",2-Jan-13,CRISIL BB-,6-Apr-15,CRISIL BB,14-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,
