5495,Kalyan Metro Multispeciality Hospital Private Limited,CRISIL B-,7-Mar-14,CRISIL B+,5-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5496,Kalyan Sarees,CRISIL BB,7-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5497,Kalyaneswari Polyfabs Private Limited,CRISIL B/CRISIL A4,31-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5498,Kalyani Forge Limited,CRISIL A/CRISIL A1,22-Feb-08,"CRISIL A-/CRISILA2+",27-Apr-09,"CRISIL BBB+/CRISILA2",9-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5499,Kalyani Technoforge Limited,CRISIL BBB+/CRISIL A2,26-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5500,Kama Metal and Alloys Private Limited,CRISIL B/CRISIL A4,16-Apr-12,"CRISIL B+/CRISILA4",21-May-13,CRISIL B+,23-Jun-14,CRISIL BB-,27-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5501,Kamac Engineers Private Limited,CRISIL BB/CRISIL A4+,17-Apr-12,Suspended,7-Dec-14,"CRISIL BBB-/CRISILA3",10-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5502,Kamadgiri Exports Private Limited,CRISIL B,3-Dec-12,CRISIL D,20-Jan-15,CRISIL C,11-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5503,Kamadhenu Feeds Private Limited,CRISIL BB,29-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5504,Kamakshi Cotton Industries Ginning and Pressing Unit,CRISIL B+,29-Sep-14,CRISIL D,22-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5505,Kamakshi Jute Industries Limited,CRISIL BB+/CRISIL A4+,28-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5506,Kamakshi Lamipack Private Limited,CRISIL B/CRISIL A4,28-Sep-12,CRISIL D/CRISIL D,20-Jan-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5507,Kamal Agro Industries,CRISIL B,26-Oct-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5508,Kamal and Associates Private Limited,CRISIL BB-/CRISIL A4+,27-Mar-14,"CRISIL BB/CRISILA4+",20-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5509,Kamal Auto Industries,CRISIL B,24-Sep-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5510,Kamal Auto Industries Coach Works Private Limited,CRISIL D/CRISIL D,28-Aug-12,CRISIL B-,25-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5511,Kamal Builders,CRISIL BB-/CRISIL A4+,6-Aug-12,"CRISIL B+/CRISILA4",4-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5512,Kamal CED Solutions LLP,CRISIL B+,20-Nov-12,Suspended,11-Sep-14,CRISIL BB+,26-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5513,Kamal Coach Works Private Limited,CRISIL BB-/CRISIL A4+,30-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5514,Kamal Cotton Traders Private Limited,CRISIL BB-,17-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5515,Kamal Enterprises - Mumbai,CRISIL B/CRISIL A4,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5516,Kamal Jewellers,CRISIL BBB-/CRISIL A3,20-Jan-12,CRISIL BBB-,20-Dec-13,"CRISIL BBB-/CRISILA3",26-Dec-13,CRISIL BBB-,3-Feb-15,"CRISIL BBB-/CRISIL A3",21-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5517,"Kamal Motors (Prop. Reliable Automotive PrivateLimited)",CRISIL BB,25-Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5518,Kamal Pressing Factory,CRISIL B,24-Mar-14,CRISIL B-,20-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5519,Kamal Suitings Private Limited,CRISIL B-/CRISIL A4,30-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5520,Kamala Cold Storage Private Limited,CRISIL D/CRISIL D,24-Sep-12,"CRISIL B-/CRISILA4",4-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5521,Kamala International Exim Private Limited,CRISIL A2+,5-Sep-14,"CRISIL A-/CRISILA2+",19-Aug-15,CRISIL A/CRISIL A1,21-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5522,Kamala Metachem,CRISIL B+/CRISIL A4,15-Dec-14,"CRISIL BB-/CRISILA4+",17-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5523,Kamala Tea Co Limited,CRISIL D/CRISIL D,17-Feb-11,"CRISIL B-/CRISILA4",18-Dec-12,CRISIL D/CRISIL D,27-Feb-14,"CRISIL B-/CRISILA4",29-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5524,Kamalakanta Cold Storage Private Limited,CRISIL B,20-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,Kamalesh Construction Private Limited,CRISIL B/CRISIL A4,20-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5526,"Kamaraj College of Engineering and TechnologyManaging Board",CRISIL BB,31-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5527,Kamarajar Port Limited,CRISIL AA-,30-Nov-12,CRISIL AA,13-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5528,Kamarhatty Co Limited,CRISIL BB+/CRISIL A4+,24-Nov-10,CRISIL BB+,24-Oct-13,"CRISIL BB+/CRISILA4+",21-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5529,Kama-Schachter Jewelry Private Limited,CRISIL A-/CRISIL A2+,9-May-08,"CRISILBBB+/CRISIL A2",6-Apr-09,"CRISIL A-/CRISILA2+",21-Sep-10,"CRISILBBB+/CRISIL A2",15-Mar-13,"CRISIL BBB-/CRISIL A3",28-Mar-14,"CRISILBBB/CRISIL A3+",5-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,
5530,Kamdar Carz Private Limited,CRISIL BB+,28-Oct-13,Suspended,20-Aug-15,CRISIL B+,6-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5531,Kamdhenu Agro-Chem Industries,CRISIL BB/CRISIL A4+,12-Dec-11,"CRISIL BB+/CRISILA4+",30-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5532,Kamdhenu Cotton and Spinning Mills Private Limited,CRISIL B/CRISIL A4,28-May-13,"CRISIL B+/CRISILA4",31-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5533,Kamdhenu Khandsari Udyog,CRISIL B+,11-Feb-14,CRISIL B-,11-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5534,Kamdhenu Limited,CRISIL BBB+/CRISIL A2,23-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5535,Kamdhenu Realities,CRISIL B+,21-Apr-14,CRISIL BB-,28-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5536,Kamdhenu Udyog Private Limited,CRISIL BB/CRISIL A4+,11-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5537,Kameshwar Industries,CRISIL B,31-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5538,Kameswari Jewellers,CRISIL BB-,28-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5539,Kamla Construction,CRISIL BBB-,28-Feb-12,Suspended,1-Oct-13,"CRISIL BB+/CRISILA4+",26-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5540,Kamla Oleo Private Limited,CRISIL A-,30-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5541,Kamlesh Kumar,CRISIL B+/CRISIL A4,17-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5542,Kamleshkumar Balubhai Lad,CRISIL BB-/CRISIL A4+,9-Oct-15,CRISIL B/CRISIL A4,4-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5543,Kamna Medical Centre Private Limited,CRISIL D,17-Jul-14,CRISIL B-,15-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5544,Kamran Exports Private Limited,CRISIL BB-,20-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5545,Kamson Healthcare Private Limited,CRISIL B-,29-Aug-12,CRISIL D,14-Jul-14,Suspended,7-Dec-15,CRISIL B+,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5546,Kamya Clothing Private Limited,CRISIL B,22-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No,Name of the Issuer,Initial Rating,Date of Initial Rating,"Rating after 1stRevision","Date of 1stRevision","Rating after 2ndRevision","Date of 2ndRevision","Rating after 3rdRevision","Date of 3rdRevision","Rating after 4thRevision","Date of 4thRevision","Rating after 5thRevision","Date of 5thRevision","Rating after 6thRevision","Date of 6thRevision","Rating after 7thRevision","Date of 7thRevision","Rating after 8thRevision","Date of 8thRevision","Rating after 9thRevision","Date of 9thRevision","Rating after 10thRevision","Date of 10thRevision","Rating after 11thRevision","Date of 11thRevision","Rating after 12thRevision","Date of 12thRevision","Rating after 13thRevision","Date of 13thRevision","Rating after 14thRevision","Date of 14thRevision","Rating after 15thRevision","Date of 15thRevision","Rating after 16thRevision","Date of 16thRevision","Rating after 17thRevision","Date of 17thRevision","Rating after 18thRevision","Date of 18thRevision"
5547,Kanak Automobiles Private Limited,CRISIL B-,24-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5548,Kanak Pipe Industries Private Limited,CRISIL BB-/CRISIL A4+,15-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5549,Kanaka Mahalakshmi Rice Industries,CRISIL B/CRISIL A4,31-Jan-14,CRISIL B,29-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5550,Kanan Knitwear,CRISIL BB+/CRISIL A4+,25-Jun-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5551,Kanav Papers Private Limited,CRISIL BB-,22-Mar-10,CRISIL BB,4-Jan-11,CRISIL B+/CRISIL A4,15-Jun-12,"CRISIL BB-/CRISIL A4+",5-Jan-15,"CRISILBB/CRISIL A4+",24-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5552,Kanchan India Limited,CRISIL BBB-/CRISIL A3,4-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5553,Kancheshwar Sugar Limited,CRISIL B,21-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5554,Kanchi Karpooram Limited,CRISIL BB+,3-Apr-14,CRISIL BB,14-Oct-15,CRISIL BB-,15-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5555,Kandhan Knitss,CRISIL BB+/CRISIL A4+,31-Dec-13,"CRISIL BB/CRISILA4+",3-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5556,Kandoi Transport Limited,CRISIL BB+/CRISIL A4+,30-Jan-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5557,Kaneriya Oil Industries,CRISIL BBB-/CRISIL A3,5-Oct-09,Suspended,22-Dec-10,"CRISIL BBB-/CRISILA3",27-Jun-12,Suspended,25-Nov-13,"CRISIL BBB-/CRISIL A3",30-Dec-13,"CRISILBBB/CRISIL A3+",24-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,
5558,Kangaro Industries Limited,CRISIL A-/CRISIL A2+,8-Apr-09,CRISIL A/CRISIL A1,2-Feb-10,"CRISIL A+/CRISILA1+",21-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5559,Kanhaiya Lal Kalyanmal,CRISIL BBB-/CRISIL A3,16-Mar-15,Suspended,15-Feb-16,"CRISIL BB/CRISILA4+",3-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5560,Kanhav Creation Private Limited,CRISIL B+,20-Oct-14,CRISIL BB-,19-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561,Kanin India,CRISIL A/CRISIL A1,30-Dec-11,"CRISIL A+/CRISILA1+",21-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5562,Kanishk Gold Private Limited,CRISIL BBB+,30-Nov-13,CRISIL A-,13-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5563,Kanmani Poultry Farm,CRISIL B+,18-Sep-12,CRISIL B-,26-Dec-13,CRISIL B,28-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5564,Kannappan Alloy and Steel Company Private Limited,CRISIL BB/CRISIL A4+,9-Apr-15,"CRISIL BB-/CRISILA4+",19-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5565,Kanohar Electricals Limited,CRISIL BBB/CRISIL A3+,17-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5566,Kanpur Edibles Private Limited,CRISIL BB+/CRISIL A4+,30-Oct-12,Suspended,19-Feb-14,"CRISIL BBB/CRISILA3+",21-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5567,Kanpur Packagers Private Limited,CRISIL B,23-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5568,Kanpur Plastipack Limited,CRISIL BBB-/CRISIL A3,8-Aug-08,"CRISIL BBB/CRISILA3+",27-Oct-14,"CRISIL BBB+/CRISILA2",18-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5569,Kans Wedding Centre,CRISIL B,11-Dec-15,CRISIL B+,9-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5570,Kansai Nerolac Paints Limited,CRISIL A1,10-Dec-93,CRISIL A1+,31-Mar-97,"CRISIL AAA/CRISILA1+",20-Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5571,Kansara Popatlal Tibhovandas Metal Private Limited,CRISIL BB-,28-Jun-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5572,Kanti Bijlee Utpadan Nigam Limited,CRISIL BBB,31-May-12,"CRISIL BBB/CRISILA3+",9-Oct-14,"CRISIL BBB-/CRISILA3",4-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5573,Kapadia Textile,CRISIL BB-,31-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5574,Kapil Enterprises Private Limited,CRISIL BB-,27-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5575,Kapil Solvex Private Limited,CRISIL B+,17-Aug-11,CRISIL BB-,14-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5576,Kapila Krishi Udyog Limited,CRISIL BB,13-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5577,Kapoor Cotsyn Exports,CRISIL A4,30-Nov-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5578,Kapoor Cotsyn India,CRISIL B/CRISIL A4,30-Jan-12,"CRISIL B+/CRISILA4",29-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5579,Kapoor Industries Limited,CRISIL A/CRISIL A1,23-Nov-15,"CRISIL BB+/CRISILA4+",30-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5580,Kapsons Worldwide,CRISIL BB/CRISIL A4+,25-Sep-12,"CRISIL BB+/CRISILA4+",9-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5581,Kapsun Resources Corporation,CRISIL BB-,30-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5582,Kapu Gems,CRISIL A-,12-Aug-13,"CRISIL A-/CRISILA2+",21-May-15,CRISIL A/CRISIL A1,24-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5583,Karad Projects And Motors Limited,CRISIL A/CRISIL A1,7-May-08,"CRISIL BB/CRISILA4+",8-Feb-10,CRISIL D/CRISIL D,2-Mar-10,Withdrawal,5-Mar-13,"CRISILBBB+/CRISILA2",24-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5584,Karam Industries,CRISIL BBB/CRISIL A3+,8-May-14,"CRISILBBB+/CRISIL A2",24-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5585,Karam Udyog,CRISIL BBB,17-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5586,Karamat Tanning Industries,CRISIL BB-/CRISIL A4+,18-Apr-13,"CRISIL BB/CRISILA4+",4-Jul-14,"CRISIL BB+/CRISILA4+",5-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5587,Karan Ashok Auto Pvt. Ltd.,CRISIL B+,20-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5588,"Karan Automobiles (A Unit of Bikaner Distributor's Pvt.Ltd.)",CRISIL BB-,13-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5589,Karan Automotives Private Limited,CRISIL BB-/CRISIL A4+,29-Sep-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5590,Karan Construction Company,CRISIL BB-/CRISIL A4+,22-Apr-14,CRISIL B/CRISIL A4,12-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5591,Karan Trading India Private Limited,CRISIL BB-/CRISIL A4+,1-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5592,Karanja Terminal & Logistics Private Limited,CRISIL BB-,24-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5593,Karbon Steelmart Private Limited,CRISIL BB-/CRISIL A4+,29-Sep-12,"CRISIL BB/CRISILA4+",29-Sep-14,"CRISIL BB+/CRISILA4+",8-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5594,Kargwal Constructions Private Limited,CRISIL BB+/CRISIL A4+,20-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5595,Karikkinethu Silk Galeria,CRISIL BB+,26-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5596,Karimkuttiyil Constructions & Developers,CRISIL B,24-Feb-15,Suspended,26-Jul-16,CRISIL B+,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5597,Karmen International Private Limited,CRISIL BBB+/CRISIL A2,16-May-13,"CRISILBBB+/CRISIL A2+",21-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5598,Karmic Energy Private Limited,CRISIL B,27-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5599,Karna Paints Private Limited,CRISIL BB-/CRISIL A4,7-Aug-09,"CRISIL BB-/CRISILA4+",15-Sep-09,CRISIL BB-,24-Dec-13,CRISIL BB,22-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5600,Karnal Motors Private Limited,CRISIL BBB-,30-Jul-09,CRISIL BBB,20-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5601,Karnani Solvex Private Limited,CRISIL BB,23-Mar-10,Suspended,28-Jun-14,"CRISIL BB+/CRISILA4+",29-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5602,Karnataka Agro Chemicals,CRISIL BB/CRISIL A4+,17-Apr-15,"CRISIL BB-/CRISILA4+",22-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5603,Karnataka Antibiotics and Pharmaceuticals Limited,CRISIL A1,1-Jan-95,CRISIL A2,1-Jan-98,Withdrawal,8-Jun-99,"CRISIL A-/CRISILA2+",28-Apr-08,"CRISIL A-/CRISIL A1",14-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5604,Karnataka Aromas,CRISIL B+/CRISIL A4,28-Jun-13,"CRISIL BB-/CRISILA4+",2-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5605,Karnataka Chemical Industries,CRISIL BB-/CRISIL A4+,28-Jun-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5606,Karnataka Hybrid Micro Devices Limited,CRISIL BB-/CRISIL A4+,14-Nov-14,"CRISIL BB/CRISILA4+",17-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5607,Karnataka Machine Tools,CRISIL BB-/CRISIL A4+,23-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5608,Karnataka Neeravari Nigam Limited,CRISIL AA-(SO),4-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5609,Karnataka Nutraceuticals India Limited,CRISIL B/CRISIL A4,17-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5610,Karnataka Plastoo Industries Private Limited,CRISIL BBB-,31-Oct-14,"CRISIL BBB-/CRISILA3",5-Feb-16,"CRISIL BBB/CRISILA3+",8-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5611,Karnataka State Financial Corporation,CRISIL A+(SO),9-Jul-02,CRISIL AA-(SO),18-Oct-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5612,Karnataka State Muslim Federation,CRISIL BBB-,27-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5613,Karnataka Turned Components Private Limited,CRISIL BB-,31-Jan-14,CRISIL B,17-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5614,Karnimata Cold Storage Limited,CRISIL B,20-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5615,Karo Coils Private Limited,CRISIL B-,26-Aug-14,CRISIL D,18-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5616,Kartekya Wines,CRISIL BB+,17-Jun-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5617,Karthik Enterprises,CRISIL BB-/CRISIL A4+,5-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5618,Karthik Travels Private Limited,CRISIL BB-,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5619,Karthikai Textile Mills,CRISIL BB+,17-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5620,Kartik Construction Company,CRISIL B/CRISIL A4,17-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5621,Kartik Industries,CRISIL BB-/CRISIL A4+,14-Mar-16,"CRISIL BB/CRISILA4+",13-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5622,Kartikeya Paper Distributor Private Limited,CRISIL B+,16-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5623,Kartya Constructions Private Limited,CRISIL B+,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5624,Karunya University,CRISIL BBB+,9-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5625,Karuppaswamy Builders Private Limited,CRISIL B+,22-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5626,Kasa Anlagen India Private Limited,CRISIL B+/CRISIL A4,23-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5627,Kasana Builders Private Limited,CRISIL BB-/CRISIL A4+,21-Oct-11,"CRISIL BB-/CRISILA4",4-Jul-13,"CRISIL BB/CRISILA4+",14-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5628,Kasatex Home Furnishing Private Limited,CRISIL D/CRISIL D,15-Dec-09,Suspended,9-Apr-12,"CRISIL BB-/CRISILA4+",26-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5629,Kasavukada,CRISIL B,31-Jan-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5630,Kasegaon Education Society,CRISIL B,16-Oct-14,CRISIL B+,16-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5631,Kashi Kanchan Private Limited,CRISIL D/CRISIL D,20-Oct-11,CRISIL B/CRISIL A4,25-Feb-13,CRISIL B+/CRISIL A4,16-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5632,Kashi Pandhari Cottex,CRISIL BB-,23-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5633,Kashi Vishwanath Steels Private Limited,CRISIL BBB-/CRISIL A3,31-Mar-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5634,Kashiratan Enterprises,CRISIL B+,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5635,Kashish Metal,CRISIL B+,28-Jun-14,"CRISIL BB-/CRISILA4+",17-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5636,Kashmir Steel Rolling Mills,CRISIL BB/CRISIL A4+,16-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5637,Kashmira Trader,CRISIL BB+,30-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5638,Kashmiri Lal Construction Private Limited,CRISIL A4+,28-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5639,Kashvi Power and Steel Private Limited,CRISIL A4,23-Apr-12,CRISIL A4+,31-Mar-14,CRISIL B+/CRISIL A4,6-Aug-15,"CRISIL B/CRISILA4",31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5640,Kashyap Constructions Private Limited,CRISIL BB+/CRISIL A4+,25-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5641,Kasim Coal and Logistics Private Limited,CRISIL B/CRISIL A4,30-Jul-15,CRISIL D/CRISIL D,17-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5642,Kastum Engineers - Aurangabad,CRISIL B+/CRISIL A4,25-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5643,Kasturi and Sons Limited,FA,23-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5644,Kasturi Multi Solutions Private Limited,CRISIL B+,2-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
